term,estimate,std.error,statistic,p.value
(Intercept),-42535.09090909174,5254.132023510285,-8.095550457956337,2.0129152230117007e-5
year,21.0909090909095,2.6010522699336804,8.108606403149006,1.987094967039795e-5
