response_variable,slope_days_per_year,p_value
Start of main flowering window,3.120000000000558,0.3827645968760936
End of main flowering window,3.820000000000511,0.18725137146548193
Flowering duration,0.6999999999999449,0.6670306567972518
Median flowering day,3.400000000000516,0.2790679891718799
